Benchmark name,Attractor colors,Unknown functions,Arity range,One-step (ms),Permanent (ms),Temporary (ms),Old one-step (ms)
group_1_1,16,4,1-1,19,47,26,94283
group_1_10,1,1,0-0,10,31,13,74083
group_1_11,2,1,1-1,9,31,13,69085
group_1_12,19,1,3-3,29,97,164,167776
group_1_13,5,1,2-2,7,26,13,175736
group_1_14,14,1,3-3,38,66,51,298611
group_1_15,5,1,2-2,8,22,16,218378
group_1_16,5,1,2-2,12,40,17,87135
group_1_17,2,1,1-1,5,19,12,154410
group_1_18,8,3,1-1,14,39,20,88724
group_1_19,25,2,2-2,9,36,17,529068
group_1_2,8,3,1-1,7,21,16,182903
group_1_20,16,4,1-1,8,20,16,197827
group_1_3,2,1,1-1,9,32,13,75649
group_1_4,5,1,2-2,14,44,20,83653
group_1_5,19,2,0-3,31,71,40,164463
group_1_6,19,2,0-3,37,99,170,177691
group_1_7,2,1,1-1,5,19,11,153128
group_1_8,10,2,1-2,9,31,19,198301
group_1_9,5,1,2-2,20,50,26,111255
group_2_1,190,3,1-3,9,27,17,415627
group_2_10,76,3,1-3,9,24,17,391279
group_2_11,100,4,1-2,33,70,43,153430
group_2_12,95,2,2-3,10,34,18,378360
group_2_13,95,2,2-3,44,104,55,183739
group_2_14,380,5,0-3,61,115,76,219386
group_2_15,190,3,1-3,12,29,24,504670
group_2_16,95,2,2-3,32,126,293,854873
group_2_17,95,2,2-3,19,103,161,348806
group_2_18,50,3,1-2,29,67,38,128877
group_2_19,76,3,1-3,43,117,197,192357
group_2_2,70,2,2-3,47,84,65,349495
group_2_20,835,2,2-4,151,298,195,682279
group_2_3,95,2,2-3,64,149,286,271504
group_2_4,840,2,2-5,82,141,234,x
group_2_5,95,2,2-3,48,132,266,204183
group_2_6,95,2,2-3,21,52,45,789044
group_2_7,835,2,2-4,76,748,1945,997553
group_2_8,350,3,2-3,65,125,89,578599
group_2_9,840,2,2-5,80,158,192,x
group_3_1,6346,3,1-4,63,141,83,1484646
group_3_10,9500,7,0-3,74,142,92,360312
group_3_11,23380,4,1-4,621,1010,686,2217954
group_3_12,3610,4,1-3,44,220,467,578774
group_3_13,1670,3,1-4,90,910,3118,1253910
group_3_14,7220,6,0-3,164,339,590,417518
group_3_15,3800,6,1-3,67,135,83,251986
group_3_16,3610,4,1-3,114,208,132,316212
group_3_17,9500,7,0-3,32,73,56,703844
group_3_18,3173,2,3-4,112,910,4797,1597004
group_3_19,1670,3,1-4,46,121,62,2831676
group_3_2,4750,5,1-3,101,229,540,386286
group_3_20,31730,4,1-4,118,1146,10101,1869271
group_3_3,1670,3,1-4,188,354,231,967030
group_3_4,3173,2,3-4,203,491,222,737371
group_3_5,1680,3,1-5,207,464,462,x
group_3_6,6346,3,1-4,481,1061,1444,791542
group_3_7,31920,4,1-5,226,390,396,x
group_3_8,1805,4,0-3,128,371,1206,444608
group_3_9,4676,3,1-4,198,356,286,1878239
group_4_1,301435,4,2-4,84,179,116,1992861
group_4_10,301435,4,2-4,179,2304,26365,x
group_4_11,158650,5,1-4,915,1813,2697,989797
group_4_12,158650,5,1-4,431,849,457,922795
group_4_13,37900,2,2-5,4263,5404,4950,x
group_4_14,288040,3,1-5,2735,3577,3128,x
group_4_15,46760,5,1-4,527,921,755,2557629
group_4_16,144020,2,3-5,2721,3561,3099,x
group_4_17,317300,7,0-4,441,762,551,995998
group_4_18,317300,7,0-4,706,1478,2294,976967
group_4_19,60648,3,3-5,219,366,485,x
group_4_2,121296,4,1-5,173,521,2301,x
group_4_20,399000,5,2-5,417,803,1057,x
group_4_3,158650,5,1-4,124,1304,12411,1931313
group_4_4,36100,6,1-3,70,171,181,1700481
group_4_5,88844,4,1-4,784,1706,2059,x
group_4_6,63840,5,1-5,137,231,277,x
group_4_7,34295,5,0-3,173,540,1733,468028
group_4_8,288040,3,1-5,2625,3529,3010,x
group_4_9,63460,5,1-4,81,176,102,3476024
group_5_1,26494550,6,1-4,427,10932,460672,x
group_5_10,1805000,9,1-3,46,129,70,2207849
group_5_11,1516200,5,2-5,833,2062,28044,x
group_5_12,9218496,7,1-5,202,499,9726,x
group_5_13,26653200,7,0-5,269,517,504,x
group_5_14,1805000,9,1-3,300,759,3070,520286
